Gene,Drug,Interaction,Source,Log2FC,Adjusted_P,Significance,Expression_Direction
CPA1,COMPOUND 1B [PMID: 18078750],inhibitor,GuideToPharmacology,-1.681782185006012,4.92651788324249e-65,Downregulated,Downregulated
CA4,TOPIRAMATE,inhibitor,TEND,-1.8644215625391456,9.762124372701393e-65,Downregulated,Downregulated
CA4,ACETAZOLAMIDE,inhibitor,GuideToPharmacology,-1.8644215625391456,9.762124372701393e-65,Downregulated,Downregulated
CA4,COMPOUND 5B  [PMID: 31287314],inhibitor,GuideToPharmacology,-1.8644215625391456,9.762124372701393e-65,Downregulated,Downregulated
CA4,TRICHLORMETHIAZIDE,unknown,TEND,-1.8644215625391456,9.762124372701393e-65,Downregulated,Downregulated
CA4,SULTHIAME,inhibitor,ChEMBL,-1.8644215625391456,9.762124372701393e-65,Downregulated,Downregulated
CA4,DICHLORPHENAMIDE,inhibitor,GuideToPharmacology,-1.8644215625391456,9.762124372701393e-65,Downregulated,Downregulated
CA4,COMPOUND 5A [PMID: 31287314],inhibitor,GuideToPharmacology,-1.8644215625391456,9.762124372701393e-65,Downregulated,Downregulated
CA4,ETHOXZOLAMIDE,inhibitor,ChEMBL,-1.8644215625391456,9.762124372701393e-65,Downregulated,Downregulated
CA4,ACETAZOLAMIDE SODIUM,inhibitor,ChEMBL,-1.8644215625391456,9.762124372701393e-65,Downregulated,Downregulated
CA4,SALVIANOLIC ACID A,inhibitor,GuideToPharmacology,-1.8644215625391456,9.762124372701393e-65,Downregulated,Downregulated
CA4,CHLORTHALIDONE,inhibitor,GuideToPharmacology,-1.8644215625391456,9.762124372701393e-65,Downregulated,Downregulated
CA4,METHAZOLAMIDE,inhibitor,GuideToPharmacology,-1.8644215625391456,9.762124372701393e-65,Downregulated,Downregulated
CA4,METHAZOLAMIDE,inhibitor,ChEMBL,-1.8644215625391456,9.762124372701393e-65,Downregulated,Downregulated
CA4,CHLOROTHIAZIDE,unknown,TEND,-1.8644215625391456,9.762124372701393e-65,Downregulated,Downregulated
TSLP,TEZEPELUMAB,unknown,TTD,-1.0851283956291446,5.001133979682717e-63,Downregulated,Downregulated
TSLP,TEZEPELUMAB,inhibitor,ChEMBL,-1.0851283956291446,5.001133979682717e-63,Downregulated,Downregulated
SLC22A12,SHR-4640,inhibitor,ChEMBL,-1.510662930415714,2.371785562215873e-60,Downregulated,Downregulated
SLC22A12,LOSARTAN POTASSIUM,unknown,PharmGKB,-1.510662930415714,2.371785562215873e-60,Downregulated,Downregulated
SLC22A12,BENZBROMARONE,inhibitor,ChEMBL,-1.510662930415714,2.371785562215873e-60,Downregulated,Downregulated
SLC22A12,CYTARABINE,unknown,PharmGKB,-1.510662930415714,2.371785562215873e-60,Downregulated,Downregulated
SLC22A12,ARHALOFENATE,inhibitor,ChEMBL,-1.510662930415714,2.371785562215873e-60,Downregulated,Downregulated
SLC22A12,LESINURAD,inhibitor,GuideToPharmacology,-1.510662930415714,2.371785562215873e-60,Downregulated,Downregulated
SLC22A12,SULFINPYRAZONE,inhibitor,GuideToPharmacology,-1.510662930415714,2.371785562215873e-60,Downregulated,Downregulated
SLC22A12,DOTINURAD,inhibitor,GuideToPharmacology,-1.510662930415714,2.371785562215873e-60,Downregulated,Downregulated
SLC22A12,IDARUBICIN,unknown,PharmGKB,-1.510662930415714,2.371785562215873e-60,Downregulated,Downregulated
SLC22A12,GEMTUZUMAB OZOGAMICIN,unknown,PharmGKB,-1.510662930415714,2.371785562215873e-60,Downregulated,Downregulated
SLC22A12,FLUDARABINE,unknown,PharmGKB,-1.510662930415714,2.371785562215873e-60,Downregulated,Downregulated
