Gene,Drug,Interaction,Source
CPA1,COMPOUND 1B [PMID: 18078750],inhibitor,GuideToPharmacology
CA4,TOPIRAMATE,inhibitor,TEND
CA4,ACETAZOLAMIDE,inhibitor,GuideToPharmacology
CA4,COMPOUND 5B  [PMID: 31287314],inhibitor,GuideToPharmacology
CA4,TRICHLORMETHIAZIDE,Unknown,TEND
CA4,SULTHIAME,inhibitor,ChEMBL
CA4,DICHLORPHENAMIDE,inhibitor,GuideToPharmacology
CA4,COMPOUND 5A [PMID: 31287314],inhibitor,GuideToPharmacology
CA4,ETHOXZOLAMIDE,inhibitor,ChEMBL
CA4,ACETAZOLAMIDE SODIUM,inhibitor,ChEMBL
CA4,SALVIANOLIC ACID A,inhibitor,GuideToPharmacology
CA4,CHLORTHALIDONE,inhibitor,GuideToPharmacology
CA4,METHAZOLAMIDE,inhibitor,GuideToPharmacology
CA4,METHAZOLAMIDE,inhibitor,ChEMBL
CA4,CHLOROTHIAZIDE,Unknown,TEND
TSLP,TEZEPELUMAB,Unknown,TTD
TSLP,TEZEPELUMAB,inhibitor,ChEMBL
SLC22A12,SHR-4640,inhibitor,ChEMBL
SLC22A12,LOSARTAN POTASSIUM,Unknown,PharmGKB
SLC22A12,BENZBROMARONE,inhibitor,ChEMBL
SLC22A12,CYTARABINE,Unknown,PharmGKB
SLC22A12,ARHALOFENATE,inhibitor,ChEMBL
SLC22A12,LESINURAD,inhibitor,GuideToPharmacology
SLC22A12,SULFINPYRAZONE,inhibitor,GuideToPharmacology
SLC22A12,DOTINURAD,inhibitor,GuideToPharmacology
SLC22A12,IDARUBICIN,Unknown,PharmGKB
SLC22A12,GEMTUZUMAB OZOGAMICIN,Unknown,PharmGKB
SLC22A12,FLUDARABINE,Unknown,PharmGKB
SLC22A12,DOTINURAD,inhibitor,ChEMBL
SLC22A12,VERINURAD,inhibitor,ChEMBL
SLC22A12,PRATOSARTAN,inhibitor,ChEMBL
SLC22A12,VERINURAD,inhibitor,GuideToPharmacology
TRPM3,EPIPREGNANOLONE SULPHATE,activator,GuideToPharmacology
TRPM3,ROSIGLITAZONE,blocker,GuideToPharmacology
TRPM3,LA3+,blocker,GuideToPharmacology
TRPM3,(S)-LIQUIRITIGENIN,blocker,GuideToPharmacology
TRPM3,PRIMIDONE,blocker,GuideToPharmacology
TRPM3,MAPROTILINE,blocker,GuideToPharmacology
TRPM3,PREGNENOLONE SULPHATE,activator,GuideToPharmacology
TRPM3,NIFEDIPINE,activator,GuideToPharmacology
TRPM3,TROGLITAZONE,blocker,GuideToPharmacology
TRPM3,PIOGLITAZONE HYDROCHLORIDE,blocker,GuideToPharmacology
TRPM3,MEFENAMIC ACID,blocker,GuideToPharmacology
TRPM3,HALOTHANE,blocker,GuideToPharmacology
TRPM3,NA+,blocker,GuideToPharmacology
TRPM3,DICLOFENAC SODIUM,blocker,GuideToPharmacology
TRPM3,GD3+,blocker,GuideToPharmacology
TRPM3,CHLOROFORM,blocker,GuideToPharmacology
TRPM3,2-APB,inhibitor,GuideToPharmacology
TRPM3,ISOSAKURANETIN,blocker,GuideToPharmacology
TRPM3,NN-DIMETHYL-D-ERYTHROSPHINGOSINE,activator,GuideToPharmacology
TRPM3,SPHINGOSINE,activator,GuideToPharmacology
TRPM3,DIHYDROSPHINGOSINE,activator,GuideToPharmacology
TRPM3,PENTAFLUORO-TRITYL CLOTRIMAZOLE ANALOGUE 29A,activator,GuideToPharmacology
TRPM3,NARINGENIN,blocker,GuideToPharmacology
TRPM3,CIM0216,activator,GuideToPharmacology
IBSP,CYCLOSPORINE,Unknown,NCI
IBSP,TNF-ALPHA,Unknown,NCI
IBSP,ZOLEDRONIC ACID ANHYDROUS,Unknown,NCI
IBSP,DAIDZEIN,Unknown,NCI
IBSP,"INSULIN, REGULAR, HUMAN",Unknown,NCI
ADH1C,CISPLATIN,Unknown,PharmGKB
ADH1C,NITREFAZOLE,inhibitor,ChEMBL
ADH1C,TRETINOIN,Unknown,NCI
ADH1C,CYCLOPHOSPHAMIDE ANHYDROUS,Unknown,PharmGKB
ADH1C,FOMEPIZOLE,inhibitor,TEND
ADH1C,NALTREXONE,Unknown,PharmGKB
CDC25C,FLUOROURACIL,Unknown,NCI
CDC25C,CISPLATIN,Unknown,NCI
CDC25C,WITHAFERIN A,Unknown,DTC
CDC25C,QUERCETIN,Unknown,NCI
HSD17B13,BI-3231,inhibitor,GuideToPharmacology
DPP6,HALOPERIDOL DECANOATE,Unknown,PharmGKB
DPP6,DEHYDRATED ALCOHOL,Unknown,PharmGKB
ADRA1A,DISULFIRAM,Unknown,PharmGKB
ADRA1A,MEDETOMIDINE,Unknown,TTD
ADRA1A,PERICIAZINE,Unknown,TEND
ADRA1A,OXYMETAZOLINE HYDROCHLORIDE,agonist,TEND
ADRA1A,RITANSERIN,inhibitor,GuideToPharmacology
ADRA1A,"ERGOLOID MESYLATES, USP",Unknown,TEND
ADRA1A,PHENYLEPHRINE HYDROCHLORIDE,agonist,ChEMBL
ADRA1A,EPINEPHRINE BITARTRATE,agonist,ChEMBL
ADRA1A,DABUZALGRON,agonist,GuideToPharmacology
ADRA1A,PHENDIMETRAZINE,Unknown,TEND
ADRA1A,ALFUZOSIN HYDROCHLORIDE,agonist,TTD
ADRA1A,TERAZOSIN,inhibitor,TEND
ADRA1A,METHOTRIMEPRAZINE,Unknown,TEND
ADRA1A,BUNAZOSIN,inhibitor,ChEMBL
ADRA1A,LABETALOL,inhibitor,TEND
ADRA1A,ZIPRASIDONE,Unknown,TEND
ADRA1A,DEBRISOQUIN,Unknown,TEND
ADRA1A,HEAT (BE2254),inhibitor,GuideToPharmacology
ADRA1A,DRONEDARONE,Unknown,TEND
ADRA1A,DAPIPRAZOLE HYDROCHLORIDE,inhibitor,ChEMBL
ADRA1A,NAN 190,inhibitor,GuideToPharmacology
ADRA1A,SILODOSIN,inhibitor,TEND
ADRA1A,BENZPHETAMINE,Unknown,TEND
ADRA1A,5-METHYLURAPIDIL,inhibitor,GuideToPharmacology
ADRA1A,ERGOTAMINE TARTRATE,agonist,ChEMBL
ADRA1A,PIRIBEDIL,inhibitor,GuideToPharmacology
ADRA1A,TAMSULOSIN HYDROCHLORIDE,inhibitor,ChEMBL
ADRA1A,PHENYLEPHRINE BITARTRATE,agonist,ChEMBL
ADRA1A,PHENYLEPHRINE,agonist,TEND
ADRA1A,METARAMINOL,Unknown,TEND
ADRA1A,TAMSULOSIN HYDROCHLORIDE,inhibitor,TEND
ADRA1A,MIDODRINE,Unknown,TEND
ADRA1A,PRAZOSIN HYDROCHLORIDE,inhibitor,ChEMBL
ADRA1A,METHAMPHETAMINE,Unknown,TEND
ADRA1A,DOPAMINE,Unknown,PharmGKB
ADRA1A,RAUWOLFIA SERPENTINA,inhibitor,ChEMBL
ADRA1A,PROPIOMAZINE,Unknown,TEND
ADRA1A,SNAP5089,inhibitor,GuideToPharmacology
ADRA1A,XYLOMETAZOLINE HYDROCHLORIDE,agonist,ChEMBL
ADRA1A,AMIODARONE HYDROCHLORIDE,Unknown,TEND
ADRA1A,CLOMIPRAMINE,inhibitor,GuideToPharmacology
ADRA1A,TERGURIDE,inhibitor,GuideToPharmacology
ADRA1A,NICERGOLINE,Unknown,TEND
ADRA1A,A61603,agonist,GuideToPharmacology
ADRA1A,A-123189,inhibitor,GuideToPharmacology
ADRA1A,MIDODRINE HYDROCHLORIDE,agonist,ChEMBL
ADRA1A,PARDOPRUNOX,Unknown,TdgClinicalTrial
ADRA1A,NAFTOPIDIL,Unknown,TTD
ADRA1A,LABETALOL HYDROCHLORIDE,inhibitor,ChEMBL
ADRA1A,ASENAPINE,Unknown,TdgClinicalTrial
ADRA1A,SERTINDOLE,inhibitor,TEND
ADRA1A,DIPIVEFRIN HYDROCHLORIDE,agonist,ChEMBL
ADRA1A,PHENOXYBENZAMINE,Unknown,TEND
ADRA1A,RS-17053,inhibitor,GuideToPharmacology
ADRA1A,MIANSERIN,inhibitor,GuideToPharmacology
ADRA1A,LISURIDE,inhibitor,GuideToPharmacology
ADRA1A,(+)-ADRENALINE,agonist,GuideToPharmacology
ADRA1A,EPHEDRINE SULFATE,agonist,ChEMBL
ADRA1A,UPIDOSIN,inhibitor,GuideToPharmacology
ADRA1A,PHENYLPROPANOLAMINE POLISTIREX,agonist,ChEMBL
ADRA1A,METHOXAMINE HYDROCHLORIDE,agonist,ChEMBL
ADRA1A,NAPHAZOLINE HYDROCHLORIDE,agonist,ChEMBL
ADRA1A,NEFAZODONE,Unknown,TEND
ADRA1A,NIFEDIPINE,Unknown,PharmGKB
ADRA1A,SENREBOTASE,Unknown,TdgClinicalTrial
ADRA1A,A-119637,inhibitor,GuideToPharmacology
