Drug,Number_of_Genes,Target_Genes,Sources
"INSULIN, REGULAR, HUMAN",4,"ADCYAP1R1, AQP7, IBSP, TDO2",NCI
NITREFAZOLE,3,"ADH1A, ADH1C, ADH4",ChEMBL
TYROSINE KINASE INHIBITOR,3,"CCL11, GFAP, MMP1",NCI
NIFEDIPINE,3,"ADRA1A, GFAP, TRPM3","GuideToPharmacology, NCI, PharmGKB"
DEHYDRATED ALCOHOL,3,"ADH4, APOB, DPP6","NCI, PharmGKB"
DOXYCYCLINE HYCLATE,2,"MMP1, MMP13",ChEMBL
RIVAROXABAN,2,"APOB, MMP13",PharmGKB
CYCLOSPORINE,2,"IBSP, LEP","NCI, PharmGKB"
ESTRADIOL VALERATE,2,"LEP, PROC","FDA, NCI"
LOVASTATIN,2,"APOB, LEP",NCI
CISPLATIN,2,"ADH1C, CDC25C","NCI, PharmGKB"
APRATASTAT,2,"MMP1, MMP13",GuideToPharmacology
PIOGLITAZONE HYDROCHLORIDE,2,"GFAP, TRPM3","GuideToPharmacology, NCI"
COLLAGENASE CLOSTRIDIUM HISTOLYTICUM,2,"COL11A1, MMP1","ChEMBL, TdgClinicalTrial"
TNF-ALPHA,2,"CCL11, IBSP",NCI
FLUDARABINE,2,"ADH1A, SLC22A12",PharmGKB
GEMTUZUMAB OZOGAMICIN,2,"ADH1A, SLC22A12",PharmGKB
ISOPROTERENOL,2,"ADRA1A, GFAP","NCI, PharmGKB"
CLOZAPINE,2,"ADRA1A, LEP","GuideToPharmacology, NCI"
LAMIVUDINE,2,"LEP, MMP1",NCI
BATIMASTAT,2,"MMP1, MMP13",GuideToPharmacology
TROGLITAZONE,2,"LEP, TRPM3","GuideToPharmacology, NCI"
FOMEPIZOLE,2,"ADH1A, ADH1C",TEND
CYTARABINE,2,"ADH1A, SLC22A12",PharmGKB
RISPERIDONE,2,"ADRA1A, LEP","GuideToPharmacology, NCI"
PROGESTERONE,2,"GFAP, PROC","FDA, NCI"
DISULFIRAM,2,"ADRA1A, GFAP","NCI, PharmGKB"
HYDROGEN PEROXIDE,2,"GFAP, TDO2",NCI
QUERCETIN,2,"APOB, CDC25C",NCI
METHIMAZOLE,2,"GFAP, LEP",NCI
HYDROCORTISONE BUTYRATE,2,"APOB, MMP1",NCI
HALOPERIDOL DECANOATE,2,"ABCB5, DPP6",PharmGKB
METHADONE HYDROCHLORIDE,2,"CCL11, LEP","NCI, PharmGKB"
REBIMASTAT,2,"MMP1, MMP13",ChEMBL
DEXAMETHASONE,2,"APOB, TDO2",NCI
IDARUBICIN,2,"ADH1A, SLC22A12",PharmGKB
ILOMASTAT,2,"MMP1, MMP13",GuideToPharmacology
DOXYCYCLINE MONOHYDRATE,2,"MMP1, MMP13",ChEMBL
DOXYCYCLINE CALCIUM,2,"MMP1, MMP13",ChEMBL
CARVEDILOL,2,"ADRA1A, LEP","NCI, TEND"
MARIMASTAT,2,"MMP1, MMP13",GuideToPharmacology
TCDD,2,"GFAP, TDO2",NCI
PHENOXYBENZAMINE,1,ADRA1A,TEND
PERICIAZINE,1,ADRA1A,TEND
PG 99-465,1,ADCYAP1R1,GuideToPharmacology
PHENDIMETRAZINE,1,ADRA1A,TEND
PHCCC,1,GRM4,GuideToPharmacology
PERMETHRIN,1,GFAP,NCI
PF-152,1,MMP13,GuideToPharmacology
PG 97-269,1,ADCYAP1R1,GuideToPharmacology
PHENOXYBENZAMINE HYDROCHLORIDE,1,ADRA1A,ChEMBL
PHENYLPROPANOLAMINE POLISTIREX,1,ADRA1A,ChEMBL
PHENTOLAMINE,1,ADRA1A,TdgClinicalTrial
PRAZOSIN,1,ADRA1A,TEND
PROTEASE INHIBITOR,1,GFAP,NCI
PROPYLTHIOURACIL,1,LEP,NCI
PROPRANOLOL HYDROCHLORIDE,1,GFAP,NCI
PROPIOMAZINE,1,ADRA1A,TEND
PROMAZINE,1,ADRA1A,TEND
PROCARBAZINE HYDROCHLORIDE,1,GFAP,NCI
PRINOMASTAT,1,MMP13,GuideToPharmacology
PRIMIDONE,1,TRPM3,GuideToPharmacology
PREGNENOLONE SULPHATE,1,TRPM3,GuideToPharmacology
PRAZOSIN HYDROCHLORIDE,1,ADRA1A,ChEMBL
PRAVASTATIN SODIUM,1,APOB,NCI
PHENTOLAMINE MESYLATE,1,ADRA1A,ChEMBL
PRATOSARTAN,1,SLC22A12,ChEMBL
PRASTERONE,1,GFAP,NCI
PITAVASTATIN,1,APOB,PharmGKB
PIRIBEDIL,1,ADRA1A,GuideToPharmacology
PEPTIDE YY (3-36),1,NPY2R,TdgClinicalTrial
PHENYLPROPANOLAMINE HYDROCHLORIDE,1,ADRA1A,ChEMBL
PHENYLPROPANOLAMINE,1,ADRA1A,TEND
PHENYLEPHRINE HYDROCHLORIDE,1,ADRA1A,ChEMBL
PHENYLEPHRINE BITARTRATE,1,ADRA1A,ChEMBL
PHENYLEPHRINE,1,ADRA1A,TEND
PEPTIDE YY HUMAN (3-36),1,NPY2R,ChEMBL
&RHO;-DA1A,1,ADRA1A,GuideToPharmacology
PEPTIDE YY,1,NPY2R,"GuideToPharmacology, TdgClinicalTrial"
NALTREXONE,1,ADH1C,PharmGKB
NEVIRAPINE,1,APOB,NCI
NEUROPEPTIDE-Y,1,NPY2R,TTD
NEUROPEPTIDE Y-(3-36),1,NPY2R,GuideToPharmacology
NEUROPEPTIDE Y,1,NPY2R,GuideToPharmacology
NERISPIRDINE,1,KCNB1,ChEMBL
NEFAZODONE,1,ADRA1A,TEND
NAVOXIMOD,1,TDO2,GuideToPharmacology
NARINGENIN,1,TRPM3,GuideToPharmacology
NAPHAZOLINE HYDROCHLORIDE,1,ADRA1A,ChEMBL
NAPHAZOLINE,1,ADRA1A,GuideToPharmacology
NAN 190,1,ADRA1A,GuideToPharmacology
NALOXONE HYDROCHLORIDE,1,ADCYAP1R1,NCI
NICOTINE POLACRILEX,1,LEP,NCI
NAFTOPIDIL,1,ADRA1A,TTD
NA+,1,TRPM3,GuideToPharmacology
N6-PHENYLADENOSINE,1,NPY2R,DTC
N-STEARYL-[NLE17] NEUROTENSIN-(6-11)/VIP-(7-28),1,ADCYAP1R1,GuideToPharmacology
MT-1207,1,ADRA1A,GuideToPharmacology
MPEP,1,GRM4,GuideToPharmacology
MOXISYLYTE,1,ADRA1A,ChEMBL
MOMETASONE,1,CCL11,NCI
MMP13 TRACER  [18F]5J,1,MMP13,GuideToPharmacology
MK-0893,1,ADCYAP1R1,GuideToPharmacology
MIRTAZAPINE,1,LEP,NCI
NICERGOLINE,1,ADRA1A,TEND
NIGULDIPINE,1,ADRA1A,GuideToPharmacology
PENTOXIFYLLINE,1,GFAP,NCI
NPY-(3-36) (PIG),1,NPY2R,GuideToPharmacology
