Gene,Tumor_Mean,Normal_Mean,Log2FC,P_Value,NegLog10_P,Significance,Adjusted_P
AADACL2,0.1581958979033728,1.4235850877192984,-1.0652634416109843,2.3091540814723533e-70,69.63654708722115,Downregulated,2.3703466646313707e-66
CPA1,0.745906836827712,4.601288596491227,-1.681782185006012,7.199003239029456e-69,68.14272763103489,Downregulated,4.92651788324249e-65
LOC572558,0.6136126709206928,3.707292105263157,-1.5446030625888163,1.6318063463163792e-68,67.78733138217311,Downregulated,8.375246072468817e-65
CA4,1.5003759343664542,8.104416666666667,-1.8644215625391456,2.377526637287237e-68,67.62387460862313,Downregulated,9.762124372701393e-65
FIGF,3.033204557885141,9.188756140350876,-1.3369794517663407,5.83638905732518e-68,67.2338557654733,Downregulated,1.9970177891147657e-64
CD300LG,3.8339226071103,10.300037719298247,-1.2250613080159096,1.1509395560052167e-67,66.93894748365317,Downregulated,2.625421009420789e-64
SCARA5,3.975129170464904,10.371857017543858,-1.1926619764269657,1.5513772918021193e-66,65.80928256980637,Downregulated,2.1233183867131674e-63
TSLP,2.534544393801276,6.498763157894736,-1.0851283956291446,4.872025308994366e-66,65.31229046431442,Downregulated,5.001133979682717e-63
COL10A1,10.552509389243392,3.778265789473684,1.2736472514687258,7.49833541117255e-66,65.12503513687214,Upregulated,6.157633039654898e-63
FXYD1,3.847740929808569,8.795413157894737,-1.014793743602808,8.313077836005982e-66,65.08023815314544,Downregulated,6.564134152815493e-63
MESTIT1,1.225320601640839,4.543683333333333,-1.316831650167784,3.910920213339655e-65,64.40772104399667,Downregulated,2.3615056464665623e-62
LRRC3B,1.0661372835004557,4.837650877192982,-1.4984518159575648,8.823955143548006e-65,64.05433670829215,Downregulated,4.528894977426014e-62
LOC100133920,0.0655087511394712,1.1330096491228072,-1.001348049850261,2.45817629825317e-64,63.60938697311236,Downregulated,1.0513879888912162e-61
MYOC,1.1798337283500455,7.088489473684211,-1.8916522099124784,4.3473864121833767e-64,63.36177175635376,Downregulated,1.716381596963937e-61
C1QTNF9,2.1113208751139467,5.272893859649123,-1.0116039619541204,1.833889243222654e-63,62.73662689686105,Downregulated,5.4496469129629984e-61
HIF3A,2.8797883318140385,7.862678070175437,-1.1917647634989252,4.0757169215393516e-63,62.38979598749257,Downregulated,1.079626523189607e-60
SLC22A12,0.2205019143117593,2.4777096491228074,-1.510662930415714,1.0975140205090498e-62,61.95958992303042,Downregulated,2.371785562215873e-60
TRPM3,0.671221422060164,3.135171929824561,-1.3070444237985688,2.0216193649963085e-62,61.69430061098191,Downregulated,3.672906687024267e-60
IBSP,4.4982010027347314,0.3157561403508772,2.063067522135896,3.2429532076780805e-62,61.48905931768343,Upregulated,5.548152446135917e-60
KIAA0408,1.9380554238833183,7.469978947368421,-1.5274967723090205,3.95053028515541e-62,61.4033446045104,Downregulated,6.488350940339245e-60
HEPACAM,1.7719344576116682,6.940306140350878,-1.5183014865283793,4.805375294226006e-62,61.31827268877656,Downregulated,7.58879652234307e-60
HPSE2,1.3645579762989972,5.545119298245614,-1.468848973003932,1.073795789266525e-61,60.96907830339187,Downregulated,1.5309046912251222e-59
